                              long     lad
Alabama              -86.5923922224596 34.7356758024691
Alaska                -168.187470829389 53.3308100550838
Arizona               -111.615135530525 36.2463773395062
Arkansas              -92.2404553521374 36.3745018333333
California            -120.386475658584 34.034180345679
Colorado              -105.837605375902 40.1123906851852
Connecticut           -72.7500704191033 41.7653157407408
Delaware              -75.5734057276619 39.5919031111111
Florida               -80.8128505589159 24.8239841227306
Georgia               -83.4848125832388 34.8044546604938
Hawaii                -166.171539079549 23.7284171581896
Idaho                 -115.25942158465 46.0109290123457
Illinois              -89.4736534897358 42.3841872530864
Indiana               -86.1259739940181 41.637323308642
Iowa                  -93.5547624934191 43.3672035185185
Kansas                -98.3303635104984 39.8555297623457
Kentucky              -84.6841789112593 38.859923462963
Louisiana             -88.8255873459908 29.8796603709091
Maine                 -70.1578640420269 43.6900192271536
Maryland              -76.0527088760855 38.1788128833971
Massachusetts         -71.9165613329627 42.5447558209877
Michigan              -85.5537117162697 45.6625052222222
Minnesota             -94.5945829561728 48.7185493950617
Mississippi           -89.4242207167089 34.6460881388889
Missouri              -92.5918042214141 40.403672037037
Montana               -109.192907672176 48.4396797777778
Nebraska              -99.9053783224672 42.2346756358025
Nevada                -117.034131681386 39.6569722716049
New-Hampshire         -71.5101267326957 43.6958601450617
New-Jersey            -74.638104312308 40.9233455308642
New-Mexico            -105.857244341589 36.5294757469136
New-York              -73.7699673858154 40.8539188888889
North-Carolina        -79.6107260441304 36.4464627530864
North-Dakota          -99.6237594623845 48.6260139475309
Ohio                  -82.8207385186695 41.6527994699955
Oklahoma              -97.5522601607084 36.6829932839506
Oregon                -121.378793620387 45.3428610617284
Pennsylvania          -78.0204010573646 41.9217809814815
Rhode-Island          -71.3834372851514 41.5234845535524
South-Carolina        -81.0260661357534 34.888059808642
South-Dakota          -99.9036100826851 45.6913540185185
Tennessee             -86.5863271120342 36.4820787993827
Texas                 -97.1996143438316 27.6294930593335
Utah                  -111.260921682652 41.3986721296296
Vermont               -72.7303999097772 44.5024862469136
Virginia              -76.0240703187518 37.9466637839506
Washington            -123.174473648561 48.6648342044502
West-Virginia         -80.627783600124 39.5697930246914
Wisconsin             -86.9017926206626 45.3700939324083
Wyoming               -107.365810650813 43.8752936296296
